Experiment,Replication,A,B,C,AvgQueueOnArrival,AvgPrepQueue,AvgWaitTime,PrepUtil,TheatreUtil,RecoveryUtil,BlockingProb,RecoveryFullProb
Exp6_+-+,2,1,-1,1,3.2791,3.9000,75.0724,0.9078,0.9000,0.3300,0.000000,0.0063
Exp6_+-+,3,1,-1,1,0.0000,0.0125,0.2340,0.3156,0.6000,0.2612,0.000000,0.0063
Exp6_+-+,4,1,-1,1,0.8056,1.1438,24.9367,0.8703,0.8313,0.3912,0.011828,0.0250
Exp6_+-+,5,1,-1,1,2.6667,3.1625,61.7083,0.9047,0.9563,0.3337,0.000000,0.0063
Exp6_+-+,6,1,-1,1,0.3000,0.3625,7.0020,0.6719,0.8250,0.4775,0.030490,0.0750
Exp6_+-+,7,1,-1,1,7.0600,7.3125,120.6223,1.0000,0.9187,0.3987,0.000000,0.0312
Exp6_+-+,8,1,-1,1,0.1290,0.3187,3.5741,0.6141,0.6937,0.2588,0.006226,0.0187
Exp6_+-+,9,1,-1,1,0.2727,0.4375,10.5231,0.6891,0.6937,0.1625,0.000000,0.0000
Exp6_+-+,10,1,-1,1,2.1333,2.2938,59.2553,0.8000,0.8063,0.3100,0.000000,0.0063
Exp6_+-+,11,1,-1,1,3.6852,3.6437,49.9035,0.9078,0.8000,0.4175,0.034074,0.0813
Exp6_+-+,12,1,-1,1,0.5200,0.5062,16.3417,0.6625,0.7812,0.3025,0.016838,0.0563
Exp6_+-+,13,1,-1,1,0.8462,1.2437,27.2125,0.8750,0.9000,0.3513,0.000000,0.0312
Exp6_+-+,14,1,-1,1,0.0556,0.1500,2.6026,0.7516,0.9062,0.3312,0.000000,0.0000
Exp6_+-+,15,1,-1,1,1.1860,1.4688,21.3592,0.8219,0.8250,0.3962,0.000000,0.0625
Exp6_+-+,16,1,-1,1,4.5000,5.1875,87.0425,0.9547,0.9563,0.3513,0.017594,0.0625
Exp6_+-+,17,1,-1,1,0.0000,0.0375,0.9532,0.4813,0.5500,0.1713,0.000000,0.0000
Exp6_+-+,18,1,-1,1,0.0588,0.1812,4.1153,0.5984,0.7812,0.2538,0.000000,0.0000
Exp6_+-+,19,1,-1,1,0.1923,0.2437,7.2967,0.5094,0.6875,0.2600,0.000000,0.0000
Exp7_-++,0,-1,1,1,0.6774,0.9375,23.9476,0.6575,0.8812,0.3713,0.014177,0.0625
Exp7_-++,1,-1,1,1,2.5938,2.5312,64.0708,0.7262,0.7875,0.3375,0.008239,0.0375
Exp7_-++,2,-1,1,1,0.4750,0.6438,12.7951,0.7113,0.8375,0.3425,0.000000,0.0000
Exp7_-++,3,-1,1,1,0.0400,0.0813,2.7691,0.5062,0.6438,0.2750,0.000000,0.0063
